provider,provider_name,continuation_rate,completion_rate,attainment_rate,progression_rate,continuation_rate_below_median,continuation_rate_bottom_quartile,completion_rate_below_median,completion_rate_bottom_quartile,attainment_rate_below_median,attainment_rate_bottom_quartile,progression_rate_below_median,progression_rate_bottom_quartile,pct_mature,pct_disabled,pct_female,pct_eth_asian,pct_eth_black,pct_eth_mixed,pct_eth_other,pct_imd_q1,pct_imd_q2,pct_imd_q3,pct_imd_q4,pct_polar_q1,pct_polar_q2,pct_polar_q3,pct_polar_q4,pct_tundra_q1,pct_tundra_q2,pct_tundra_q3,pct_tundra_q4
10042570,AAP Education Limited,91.1,83.1,79.4,76.7,False,False,False,False,False,False,False,False,11.5,21.8,42.1,18.4,12.1,10.9,5.9,14.7,26.2,21.9,17.1,7.3,8.7,17.2,28.5,6.6,10.7,13.3,23.9
10067853,ACM Guildford Limited,82.2,77.1,73.5,69.9,True,False,True,False,True,False,False,False,30.4,31.8,30.5,4.7,14.9,9.9,3.4,17.6,18.3,20.3,21.0,11.3,14.1,19.6,23.9,12.0,15.7,19.6,23.6
10000055,Abingdon and Witney College,68.2,72.2,,,True,True,True,True,,,,,83.5,13.1,69.9,5.8,,2.3,,2.8,8.5,11.9,32.4,13.8,13.8,13.8,17.2,,27.6,27.6,24.1
10036456,Academy of Live Technology Ltd,94.2,,56.0,66.1,False,False,,,True,True,True,False,18.5,36.5,34.5,,,4.5,,20.8,20.8,14.9,20.2,23.4,22.1,15.9,18.6,22.5,18.8,25.4,18.8
10004927,Activate Learning,74.1,73.6,65.5,61.1,True,True,True,True,True,True,True,False,65.8,19.5,48.4,4.0,7.4,3.1,0.8,10.2,13.9,21.0,18.7,14.8,18.4,17.8,17.2,14.7,23.9,24.5,14.4
10000291,Anglia Ruskin University,81.4,83.7,68.3,67.4,True,False,False,False,True,False,False,False,58.3,14.8,65.4,10.9,22.2,4.9,3.7,19.4,29.6,21.7,15.9,17.4,19.2,21.1,22.9,20.5,19.7,19.7,21.2
10005451,Arden University Limited,76.6,56.4,56.8,54.2,True,True,True,True,True,True,True,True,84.4,10.2,54.7,20.8,22.3,5.4,5.0,44.1,30.6,15.1,7.1,15.4,18.1,22.9,26.6,12.2,12.9,15.7,26.9
10000381,Arts Educational Schools (The),95.3,95.0,95.8,78.5,False,False,False,False,False,False,False,False,6.0,20.6,59.2,3.5,11.5,12.0,,7.6,14.3,17.8,24.7,6.6,12.1,18.6,25.9,8.6,12.4,20.0,26.5
10000385,Arts University Bournemouth,93.7,94.6,75.5,62.8,False,False,False,False,False,False,True,False,9.5,30.3,72.4,3.5,2.1,6.8,1.1,7.0,14.5,19.8,25.5,10.5,14.6,18.6,22.7,12.5,18.0,22.7,22.7
10005127,Arts University Plymouth,87.9,82.4,67.5,60.2,False,False,True,False,True,True,True,False,26.8,45.1,73.7,1.6,1.0,4.5,0.5,15.7,27.4,23.6,18.4,19.2,26.1,21.3,19.4,23.4,27.2,23.1,18.0
10000415,Askham Bryan College,81.8,72.4,70.5,46.1,True,False,True,True,True,False,True,True,27.0,40.5,80.5,1.2,,1.6,,23.2,18.1,18.3,21.9,22.4,23.7,18.2,19.2,22.3,16.8,24.2,21.3
10020416,Assemblies of God Incorporated,89.7,81.5,,,False,False,True,False,,,,,43.3,18.3,51.7,,10.2,5.1,,20.7,22.4,19.0,22.4,20.6,26.5,20.6,23.5,21.2,24.2,27.3,21.2
10007759,Aston University,94.5,94.1,80.1,80.3,False,False,False,False,False,False,False,False,4.9,9.1,45.4,55.9,19.6,4.5,3.4,46.0,19.3,14.0,10.3,11.9,21.2,30.5,17.9,8.2,13.3,18.5,32.1
10000473,Aylesbury College,84.7,72.1,,47.9,True,False,True,True,,,True,True,32.3,33.3,61.1,2.6,2.9,7.0,1.5,3.5,11.5,14.0,26.9,4.6,5.6,21.0,22.6,2.1,8.7,17.4,28.2
10037544,BIMM University Limited,86.5,79.0,72.1,64.8,False,False,True,False,True,False,True,False,17.0,24.4,46.6,1.9,4.2,7.4,1.8,14.8,18.3,20.3,23.1,14.6,18.1,19.1,20.8,16.5,19.4,21.6,21.1
10031982,BPP University Limited,90.1,69.3,55.1,84.3,False,False,True,True,True,True,False,False,90.2,8.8,73.1,42.0,32.1,,,30.7,25.3,22.0,11.1,13.8,17.2,31.0,,17.9,10.7,25.0,14.3
10000536,Barnsley College,82.6,75.6,82.4,58.5,True,False,True,True,False,False,True,False,42.4,23.0,67.7,1.3,2.0,1.3,,45.1,26.7,13.2,11.9,51.4,33.7,5.6,8.7,49.2,30.3,10.8,8.7
10000560,Basingstoke College of Technology,88.1,88.9,,,False,False,False,False,,,,,65.9,7.7,81.3,,,3.3,,,20.0,14.4,27.8,29.0,19.4,9.7,22.6,38.7,19.4,9.7,22.6
10001465,Bath College,92.9,70.9,,78.6,False,False,True,True,,,False,False,20.2,31.5,69.4,,,2.4,,4.9,11.4,24.4,21.1,10.1,14.1,18.2,20.2,16.3,17.3,17.3,21.4
10000571,Bath Spa University,82.5,87.0,75.1,64.5,True,False,False,False,False,False,True,False,71.8,11.7,44.4,9.6,8.4,5.1,5.8,34.2,25.0,17.8,12.6,15.0,17.8,20.8,20.3,16.6,20.6,22.8,21.7
10000610,Bedford College,73.2,80.8,,50.3,True,True,True,False,,,True,True,52.3,15.0,43.7,22.2,6.0,3.4,0.8,32.9,20.2,17.9,13.9,7.2,26.5,25.5,26.0,12.0,29.8,30.5,19.5
10007760,Birkbeck College,80.0,70.4,67.8,66.9,True,True,True,True,True,False,False,False,57.8,23.4,50.9,16.5,18.7,10.8,8.7,22.1,34.7,22.5,12.2,6.6,8.9,19.2,31.4,6.4,8.3,11.4,26.4
10007140,Birmingham City University,89.5,87.0,61.9,71.2,False,False,False,False,True,True,False,False,19.8,15.5,62.0,29.8,24.1,6.5,2.6,46.2,19.3,13.8,11.1,16.7,22.8,28.2,16.9,13.0,16.3,19.4,30.3
10006442,Birmingham Metropolitan College,74.2,78.8,,51.1,True,True,True,False,,,True,True,39.3,17.2,40.1,17.1,15.2,6.4,2.4,46.4,16.8,11.5,16.0,17.9,22.7,28.8,14.8,14.5,11.0,23.2,28.9
10007832,Birmingham Newman University,85.1,76.0,71.4,64.0,True,False,True,True,True,False,True,False,53.5,20.2,67.7,19.9,14.4,7.4,5.3,55.0,20.0,13.3,6.6,22.7,25.3,27.4,14.4,15.0,22.1,20.8,26.4
10000720,Bishop Auckland College,83.9,72.3,82.2,61.2,True,False,True,True,False,False,True,False,58.0,25.4,62.1,,,,,42.0,32.6,12.9,7.6,40.4,31.9,13.8,11.7,53.2,26.6,11.7,6.4
10000721,Bishop Burton College,79.9,67.2,46.3,44.0,True,True,True,True,True,True,True,True,28.0,37.2,74.0,,,1.5,0.5,16.2,20.5,18.6,23.9,17.2,21.6,23.0,22.3,15.8,22.1,27.1,22.4
10000747,Blackburn College,75.4,65.2,57.4,58.6,True,True,True,True,True,True,True,False,67.1,28.4,69.7,26.9,1.0,3.3,0.3,62.9,17.0,7.6,8.8,15.5,23.4,14.2,32.8,5.9,34.7,11.0,23.6
10000754,Blackpool and the Fylde College,80.1,78.2,69.6,59.0,True,True,True,False,True,False,True,False,61.8,27.5,44.5,1.7,0.6,1.8,0.5,41.7,22.8,14.0,12.9,19.4,23.6,21.5,20.2,19.2,21.8,21.9,25.3
10004061,Bloomsbury Institute Limited,67.7,51.7,63.0,53.7,True,True,True,True,True,True,True,True,60.2,22.9,55.6,18.9,28.6,11.8,7.5,25.5,43.6,17.5,9.5,9.4,12.9,18.0,32.4,5.0,11.5,9.4,24.5
10000794,Bolton College,75.6,69.5,,,True,True,True,True,,,,,80.0,16.7,86.7,11.2,2.8,1.7,1.7,53.3,15.6,12.8,13.9,30.6,30.6,19.4,13.9,25.0,36.1,,27.8
10000812,Boston College,78.8,86.7,61.7,57.7,True,True,False,False,True,True,True,False,36.2,30.9,67.1,,,4.2,,21.4,34.8,22.0,16.4,37.7,37.7,23.2,1.3,31.4,52.8,13.1,1.7
10000824,Bournemouth University,90.7,88.9,76.3,75.3,False,False,False,False,False,False,False,False,14.9,22.0,53.3,5.7,4.5,6.2,1.7,8.0,15.2,20.3,23.6,12.5,16.2,18.6,21.2,14.1,20.0,21.8,21.4
10000820,"Bournemouth and Poole College, the",77.0,76.2,68.6,56.7,True,True,True,True,True,False,True,True,29.0,45.0,34.3,1.8,,3.7,,7.1,24.9,18.9,24.3,26.7,23.3,24.2,12.5,24.2,33.3,24.2,11.7
10000840,Bradford College,83.5,75.4,52.8,59.6,True,False,True,True,True,True,True,False,46.8,20.0,64.2,53.1,4.4,5.8,1.4,62.8,21.5,8.3,4.9,9.4,34.0,33.7,17.4,7.1,15.2,41.1,31.5
10038772,British Academy of Jewellery Limited,84.5,85.4,,,True,False,False,False,,,,,90.2,3.4,43.9,23.3,3.0,2.4,6.9,52.0,24.0,15.3,5.1,22.2,28.8,17.0,23.5,20.3,26.8,15.7,20.9
10000944,Brockenhurst College,93.8,78.8,65.0,74.1,False,False,True,False,True,True,False,False,60.3,26.5,95.6,,,4.5,,13.2,10.3,22.1,20.6,18.5,40.7,,14.8,25.9,33.3,18.5,18.5
10000961,Brunel University London,89.0,91.1,68.0,71.0,False,False,False,False,True,False,False,False,11.6,13.1,41.4,38.3,22.1,7.4,9.1,17.6,34.5,23.5,14.5,3.4,8.0,16.4,32.5,3.2,6.2,8.8,24.7
10000975,Buckinghamshire New University,80.7,76.5,52.7,66.0,True,True,True,True,True,True,True,False,80.2,6.1,50.8,11.6,17.9,5.2,5.8,31.8,29.1,18.9,11.6,11.9,17.3,20.7,23.1,11.2,15.8,20.8,23.5
10001000,Burnley College,75.4,73.8,59.9,54.7,True,True,True,True,True,True,True,True,61.2,26.8,67.5,13.6,0.7,3.0,,56.2,21.9,10.3,9.3,17.3,41.0,21.1,16.8,12.4,37.6,24.3,19.7
10001005,Bury College,80.9,74.0,52.6,44.6,True,True,True,True,True,True,True,True,46.9,21.4,71.4,10.5,3.9,6.0,0.6,40.7,24.9,14.2,11.9,15.1,34.9,20.5,17.1,11.2,29.8,24.4,20.9
10001093,Calderdale College,84.4,74.9,64.1,59.9,True,False,True,True,True,True,True,False,62.0,33.5,70.8,11.3,2.8,2.8,,49.3,20.8,15.8,12.0,16.7,31.5,37.0,6.5,15.7,15.7,39.8,17.6
10010308,Cambridge Arts & Sciences Limited,84.6,84.8,87.0,61.4,True,False,False,False,False,False,True,False,18.5,21.0,76.3,4.5,7.5,11.9,,16.4,27.4,13.7,23.3,22.7,16.7,12.1,18.2,18.6,20.3,18.6,23.7
10001116,Cambridge Regional College,87.6,89.2,,56.9,False,False,False,False,,,True,False,23.7,18.3,42.4,4.7,2.7,1.6,,2.7,6.9,26.3,29.8,13.5,12.0,15.0,28.5,17.0,14.0,25.0,33.0
10001143,Canterbury Christ Church University,80.4,82.7,70.3,72.9,True,True,False,False,True,False,False,False,82.3,8.2,52.2,12.9,11.7,4.1,6.4,35.8,28.7,18.6,10.7,19.5,22.2,23.2,22.1,18.6,21.0,22.4,21.4
10007455,Capital City College Group,83.8,81.1,75.3,69.1,True,False,True,False,False,False,False,False,82.5,14.8,78.1,12.4,28.8,10.1,9.7,26.7,35.8,18.0,13.0,,3.5,24.7,37.6,,3.6,11.9,31.0
10024024,Central Film School London Ltd,86.2,,73.2,65.4,False,False,,,True,False,True,False,39.9,22.5,38.1,7.6,14.8,10.0,4.8,15.1,30.7,26.4,13.7,4.6,11.5,19.8,27.5,6.4,8.8,13.6,29.6
10001264,Central School of Ballet Charitable Trust Ltd,94.7,93.3,87.2,60.7,False,False,False,False,False,False,True,False,,11.5,68.3,3.9,,3.9,,,4.8,17.9,33.3,2.9,9.6,19.2,23.1,7.1,8.3,22.6,27.4
10005972,Cheshire College South and West,88.6,82.8,86.0,54.1,False,False,False,False,False,False,True,True,39.8,31.1,35.9,1.6,1.0,2.6,,23.0,18.1,13.8,20.2,30.6,16.7,11.8,16.7,33.9,12.5,11.3,19.6
10001378,Chesterfield College,82.6,75.5,,58.5,True,False,True,True,,,True,False,28.4,30.4,62.9,1.7,1.5,2.2,0.7,25.1,23.9,16.1,13.5,35.7,17.2,17.8,10.8,32.0,19.2,20.5,6.4
10007817,Chichester College Group,83.9,77.6,83.9,49.9,True,False,True,False,False,False,True,True,25.6,39.6,52.6,3.2,2.1,4.9,,8.6,18.4,26.7,25.8,22.8,23.9,17.8,18.8,26.9,25.8,24.4,14.7
10004772,City College Norwich,83.9,79.1,71.9,56.7,True,False,True,False,True,False,True,True,37.5,28.3,58.1,2.0,2.6,2.3,0.5,13.5,18.3,30.2,20.6,23.1,27.3,25.2,19.0,38.5,36.2,12.5,10.2
10005128,City College Plymouth,78.0,76.9,65.0,65.2,True,True,True,False,True,True,True,False,43.3,37.5,43.1,0.6,0.6,1.9,0.6,29.7,25.8,19.4,15.7,25.8,28.0,24.7,14.2,28.0,26.9,22.9,19.3
10001478,"City St George's, University of London",91.8,91.9,80.9,80.6,False,False,False,False,False,False,False,False,13.3,10.3,62.3,46.5,16.5,5.8,8.7,20.7,32.6,21.6,14.3,3.1,6.9,16.1,36.4,3.0,5.7,9.2,23.9
10039082,City and Guilds of London Art School Limited,95.3,78.3,92.4,75.5,False,False,True,False,False,False,False,False,32.7,33.3,72.0,2.8,0.9,9.6,,5.3,19.5,24.9,25.6,,2.3,2.7,17.7,1.1,3.6,6.8,25.7
10001467,City of Bristol College,83.0,79.6,,70.8,True,False,True,False,,,False,False,81.0,24.3,47.9,5.5,9.4,7.4,1.2,25.8,21.3,17.4,19.4,43.9,15.3,15.3,11.2,43.2,23.2,13.7,9.5
10007945,City of Portsmouth College,77.3,81.8,,62.3,True,True,True,False,,,True,False,73.0,19.7,57.7,7.3,2.2,2.2,,15.3,24.1,24.1,16.8,40.5,18.9,,18.9,43.2,29.7,16.2,8.1
10001475,City of Sunderland College,71.2,69.0,61.1,47.9,True,True,True,True,True,True,True,True,59.2,17.8,62.0,16.1,6.9,2.8,0.3,59.8,18.4,10.5,7.5,40.2,26.0,15.9,9.2,35.6,27.7,14.9,12.6
10007578,City of Wolverhampton College,79.0,78.5,,54.6,True,True,True,False,,,True,True,42.0,4.9,32.1,21.0,7.4,4.9,,50.6,24.7,12.3,8.6,31.9,17.0,23.4,,,31.9,19.1,21.3
10001535,Colchester Institute,80.8,69.5,67.6,60.9,True,True,True,True,True,True,True,False,42.8,29.6,54.3,1.3,4.2,3.8,0.8,16.8,16.6,26.8,25.1,24.2,21.9,21.2,20.4,31.0,25.0,23.1,16.8
10004028,Contemporary Dance Trust Limited,95.3,93.7,,76.9,False,False,False,False,,,False,False,5.1,38.4,78.1,2.6,4.1,13.3,1.5,8.8,14.8,28.6,24.2,8.0,15.5,17.1,27.3,8.0,18.4,20.1,27.0
10001696,Cornwall College,83.5,82.7,76.4,52.7,True,False,False,False,False,False,True,True,54.2,32.7,53.6,0.4,,1.7,1.1,10.3,29.6,27.0,18.3,11.4,19.2,25.4,18.9,15.7,27.4,26.2,16.2
10034324,Court Theatre Training Company Ltd,91.4,88.4,94.2,58.0,False,False,False,False,False,False,True,False,47.5,33.8,48.7,,11.8,9.2,,14.9,24.3,23.0,17.6,14.3,11.9,16.7,26.2,17.5,,20.0,15.0
10007761,Courtauld Institute of Art,93.5,95.1,93.7,70.5,False,False,False,False,False,False,False,False,9.5,39.2,80.1,3.4,1.7,8.4,2.0,4.3,16.7,24.0,28.0,5.1,9.5,9.8,22.9,6.1,10.7,18.0,24.9
10003010,Coventry College,89.6,65.4,,48.2,False,False,True,True,,,True,True,46.2,24.7,57.0,16.3,3.3,5.4,,22.6,26.9,28.0,14.0,24.0,28.0,34.0,8.0,26.0,28.0,24.0,18.0
10001726,Coventry University,81.3,82.9,78.8,72.3,True,False,False,False,False,False,False,False,26.1,16.0,53.4,25.3,27.1,5.3,2.8,35.4,24.0,16.6,12.9,15.2,21.7,27.1,18.4,12.5,17.5,21.4,27.8
10001743,Craven College,75.0,74.2,51.8,42.4,True,True,True,True,True,True,True,True,31.0,31.0,61.2,9.4,5.5,2.4,2.4,31.3,13.3,20.3,21.1,15.7,18.0,21.3,29.2,14.8,20.5,28.4,21.6
10001778,Croydon College,77.9,71.6,64.4,61.1,True,True,True,True,True,True,True,False,87.3,25.5,82.8,6.6,63.3,10.7,2.6,28.4,42.6,19.1,7.4,,,11.5,50.0,,,11.5,42.3
10001919,DCG,89.1,88.9,64.8,49.3,False,False,False,False,True,True,True,True,39.3,20.1,65.8,3.8,,2.6,1.5,19.8,17.2,20.1,18.1,37.4,15.4,19.6,20.1,39.5,20.5,23.3,10.7
10004695,DN Colleges Group,78.5,73.4,67.6,62.1,True,True,True,True,True,True,True,False,72.1,30.5,73.0,2.9,2.3,2.0,0.3,38.5,19.9,19.8,14.8,45.7,28.5,16.7,4.3,46.9,21.6,23.8,4.3
10015688,David Game College Ltd,87.1,,,53.6,False,False,,,,,True,True,93.8,4.1,59.2,3.0,4.1,0.7,1.7,19.3,35.3,26.7,13.1,,10.0,26.0,24.0,,8.0,14.0,16.0
10001883,De Montfort University,86.2,88.3,72.1,69.0,False,False,False,False,True,False,False,False,20.2,16.9,58.3,25.6,22.9,6.0,2.0,28.4,24.6,17.2,15.3,16.9,19.2,24.7,22.5,16.7,18.8,20.8,24.1
10007924,Dudley College of Technology,81.9,73.1,,58.6,True,False,True,True,,,True,False,39.7,22.2,48.3,7.2,4.9,4.4,,36.0,21.4,15.3,14.8,33.1,30.2,14.3,17.6,24.1,30.2,21.6,20.4
10006570,EKC Group,83.3,79.1,,50.5,True,False,True,False,,,True,True,67.5,30.4,58.3,2.0,2.9,4.9,1.2,20.9,20.4,26.0,23.3,25.2,20.7,32.4,14.4,25.2,22.5,33.3,14.4
10004552,East Lancashire Learning Group,80.4,81.6,70.4,72.2,True,True,True,False,True,False,False,False,76.7,25.4,63.9,13.0,0.7,2.6,0.7,51.1,20.9,10.9,11.5,16.8,35.5,26.2,17.8,13.1,43.0,18.7,18.7
10002130,East Surrey College,79.2,78.8,69.4,57.2,True,True,True,False,True,False,True,False,41.8,28.4,66.7,4.0,15.9,8.5,,11.1,23.1,19.6,22.1,,10.3,18.8,24.8,6.8,12.8,20.5,34.2
10002923,East Sussex College Group,82.6,78.0,78.4,62.2,True,False,True,False,False,False,True,False,83.9,13.5,57.4,4.9,1.7,1.7,1.8,21.4,33.9,23.3,14.3,35.2,16.2,12.6,16.2,37.7,21.5,15.4,13.8
10007823,Edge Hill University,90.6,90.4,75.2,73.0,False,False,False,False,False,False,False,False,24.1,21.0,70.4,3.6,2.9,2.6,0.5,33.5,16.7,16.5,18.0,19.5,21.6,20.0,21.1,16.6,21.9,18.4,23.2
10009213,Education for Industry Group,89.9,90.0,,,False,False,False,False,,,,,25.8,13.8,89.4,5.3,8.4,9.5,1.0,7.3,18.5,19.0,22.4,6.0,13.6,22.8,25.5,6.2,16.2,24.1,22.4
10021100,Elim Foursquare Gospel Alliance,91.8,82.6,53.1,75.3,False,False,False,False,True,True,False,False,51.4,32.4,54.1,,7.2,2.7,,16.5,18.7,17.6,28.6,16.7,22.2,16.7,18.5,18.2,25.0,22.7,20.5
10002370,Exeter College,79.8,74.7,68.8,63.0,True,True,True,True,True,False,True,False,31.9,42.6,42.6,1.0,1.3,2.3,,3.6,13.6,36.9,22.7,16.6,26.5,22.7,19.4,25.1,29.4,30.3,13.3
10008640,Falmouth University,88.6,86.7,77.7,66.1,False,False,False,False,False,False,True,False,17.1,38.0,56.2,1.7,1.9,5.3,0.6,9.8,18.1,24.0,23.8,11.0,17.2,21.0,22.1,13.8,20.6,24.5,21.4
10002412,Farnborough College of Technology,79.2,77.6,70.8,71.5,True,True,True,False,True,False,False,False,49.5,28.2,56.3,5.9,4.7,4.2,1.6,1.3,10.3,12.7,22.3,9.5,10.8,17.5,23.5,10.9,18.5,27.5,22.4
10002599,Furness College,89.2,74.2,45.9,81.9,False,False,True,True,True,True,False,False,58.6,18.9,54.1,,,,,31.5,15.3,19.8,26.1,34.8,23.9,15.2,10.9,52.2,13.0,17.4,13.0
10022087,Futureworks Training Limited,83.3,82.9,74.7,67.1,True,False,False,False,False,False,False,False,19.3,36.1,25.6,4.6,4.5,5.2,0.8,30.3,18.3,16.5,20.2,19.3,23.3,18.3,19.8,19.1,19.7,21.7,21.9
10002638,Gateshead College,79.1,70.7,,65.5,True,True,True,True,,,True,False,37.1,53.9,27.0,,,5.1,2.8,37.1,29.8,9.6,12.4,31.3,28.6,16.1,17.9,23.2,27.7,23.2,12.5
10042500,Global Banking School Limited,78.8,82.6,,42.9,True,True,False,False,,,True,True,91.2,4.3,47.7,21.4,22.7,4.7,4.1,45.0,29.4,15.2,7.2,20.1,21.1,22.8,21.1,15.5,15.3,17.2,26.7
10002696,Gloucestershire College,82.4,79.6,,52.8,True,False,True,False,,,True,True,56.0,15.2,44.4,9.6,4.6,2.8,1.3,23.7,21.2,20.8,15.6,18.1,37.0,17.6,18.1,23.1,32.1,24.4,11.5
10002718,Goldsmiths' College,84.7,77.7,89.2,67.4,True,False,True,False,False,False,False,False,24.6,27.7,60.6,21.7,17.0,10.4,4.8,19.8,31.8,20.5,14.4,5.0,8.4,17.7,36.7,5.6,7.2,12.4,28.0
10002743,Grantham College,81.7,79.3,,39.1,True,False,True,False,,,True,True,21.4,33.0,41.7,,,,,7.8,20.6,22.5,16.7,17.3,35.8,3.7,28.4,17.5,3.8,37.5,27.5
10007825,Guildhall School of Music & Drama,95.3,95.4,92.2,81.7,False,False,False,False,False,False,False,False,13.6,33.6,41.7,3.1,5.8,11.0,1.0,7.9,15.4,20.4,23.5,4.9,8.0,17.1,23.9,5.8,12.3,17.1,28.5
10041898,HY Education Limited,86.5,85.9,,43.6,False,False,False,False,,,True,True,89.3,4.4,49.6,8.5,41.3,4.2,21.9,42.6,37.3,14.3,4.3,15.5,22.5,18.3,26.1,19.6,20.3,14.5,18.8
10002852,Halesowen College,77.8,64.6,,51.1,True,True,True,True,,,True,True,15.0,16.8,40.2,10.3,6.5,5.1,4.7,39.3,22.9,20.1,8.9,26.9,30.2,21.4,13.2,14.3,31.9,24.2,19.2
10002899,Harlow College,87.8,77.5,,58.9,False,False,True,False,,,True,False,11.6,35.5,55.4,2.5,5.0,5.0,,3.3,37.2,25.6,16.5,36.4,22.4,17.8,11.2,33.6,31.8,14.0,11.2
10040812,Harper Adams University,92.7,94.0,74.0,71.9,False,False,False,False,False,False,False,False,8.4,28.0,63.5,1.0,0.5,1.6,0.2,6.2,14.5,28.5,27.1,7.5,11.3,20.3,28.6,10.3,16.4,25.4,29.0
10007193,"Harrow, Richmond & Uxbridge College (HRUC)",82.1,78.3,,42.2,True,False,True,False,,,True,True,27.9,11.8,32.7,46.7,10.3,5.7,8.8,12.3,41.3,28.7,11.4,,11.6,13.7,36.5,,6.2,7.1,25.5
10080811,Hartpury University,90.6,86.0,67.9,62.8,False,False,False,False,True,False,True,False,13.0,22.2,67.9,0.9,1.7,4.2,0.3,7.4,13.4,23.7,26.4,13.0,16.6,21.9,23.0,14.7,19.8,26.3,23.8
10005979,Havant and South Downs College,85.1,83.5,,,True,False,False,False,,,,,18.5,24.9,59.9,1.3,0.9,2.2,,23.1,14.9,19.5,16.7,36.6,22.0,8.6,17.2,44.4,23.9,25.7,3.4
10000163,Health Sciences University,94.0,92.5,68.4,94.1,False,False,False,False,True,False,False,False,26.2,23.3,44.5,10.6,4.1,7.7,3.4,11.7,18.5,20.6,21.3,12.0,14.9,18.1,24.9,13.8,19.1,16.6,23.2
10007977,Heart of Worcestershire College,83.2,78.1,53.3,65.8,True,False,True,False,True,True,True,False,35.1,22.1,39.9,3.7,2.2,5.1,1.1,24.3,18.1,21.7,18.8,29.1,17.9,17.9,23.5,18.4,34.1,25.1,17.9
10007289,Heart of Yorkshire Education Group,82.9,80.2,67.6,51.8,True,False,True,False,True,True,True,True,29.7,21.0,59.2,3.8,1.6,2.5,0.7,30.5,23.2,15.8,17.0,31.8,33.9,22.7,8.5,31.2,21.1,33.2,12.7
10003022,Hereford College of Arts,91.1,83.9,74.1,49.8,False,False,False,False,False,False,True,True,34.4,63.7,62.4,0.8,1.2,2.3,,9.3,17.9,34.7,21.8,12.7,21.7,23.9,19.7,13.8,27.9,26.3,18.2
10003035,Hertford Regional College,83.0,73.6,,62.4,True,False,True,True,,,True,False,29.3,30.0,60.5,1.9,4.6,4.2,,8.7,26.2,24.0,17.5,8.1,26.9,23.1,15.1,10.2,27.4,23.7,14.5
10003128,Holy Cross College,91.6,77.1,69.6,68.6,False,False,True,False,True,False,False,False,82.8,13.8,94.1,7.0,,1.5,,39.9,26.1,14.8,12.8,28.6,17.1,31.4,14.3,22.9,31.4,28.6,8.6
